no,comment_id,category,text,rater2_label,catatan
1,UgxEJ2UMTMoTf3ixxBl4AaABAg,institusional,"Korupsi dampaknya sangat nyata menyengsarakan rakyat melebihi Covid19,,,, semoga para pejabat diatas lekas sadar bahwa melakukan  korupsi akan mendapatkan balasan yg sangat pedih nanti disana...",,
2,Ugwwe-wchyiVaH_rKCB4AaABAg,institusional,"ngeri akh ,ronald tanur ,suapnya sampe 1 Triliunnnnnnnnnn
Aihhhhhh......seberapa dalam kasus ini hingga nerani suap sebanyak itu ,berarti pemain besarnya banyak sekali",,
3,UgxI7htLgyE1kcZ3bgR4AaABAg,institusional,Alhamdulillah.mantab sekali bung gafur.sayang bung yg parah di dunia hukum.polisi.kejaksaan.hakim bikin sgt meragukan krn oknum² di institusi ini yg merusak hukum dan keadilan agt terima ksh bung gafur❤,,
4,UgwUk8FZbeEYqEDiLPl4AaABAg,institusional,"Keren asli sama hakim dan rasa keadilan nya,, pas gitu porsi2 hukuman nya untuk sambo, putri, kuat dan Ricky rizal.. Tinggal nunggu Eliezer, semoga vonis nya lebih ringan dibawah 5 tahun.. Tidak dapat dipungkiri, kasus ini bisa terang berkat Eliezer",,
5,Ugyn-v_Nj8v-GVHbmYF4AaABAg,institusional,Mantap hakim nya cpt bersahabat.,,
6,UgxT-gAOINn7B0sosxt4AaABAg,institusional,Bagaimana nanti kalau mati hakim pembela maling atau koruptor,,
7,UgzRG29j5H_y8aToSyh4AaABAg,institusional,"Hanya keadilan dari yang Maha adil lah...
Keadilan yang hakiki, dan mereka semua takkan bisa lolos dari-Nya...",,
8,UgwX8SuI0zGOUBwQF7x4AaABAg,institusional,Mantap,,
9,UgzQVantEHnkgMVcUGZ4AaABAg,institusional,"Carut marut negriku
Korupsi kolusi nepotisme merjalela di semua sektor",,
10,UgxJx4n7swg7Hw0LmyJ4AaABAg,institusional,Bnyk dagelan di negri ini..udah ketauan baru diperiksa lagi...,,
11,UgyroiPAm5EE3CTRymB4AaABAg,tutorial_website,"Maturnuwun untuk informasi & petunjuknya,,sangat membantu sekali untuk masyarakat yg bingungan seperti saya ini🫡",,
12,Ugx8YYZXJHgqeRfqdLd4AaABAg,institusional,"Geblek nih MA !!! Beginilah contoh oknum penegak hukum  yang punya otak tapi tidak punya hati nurani !!!
Sepertinya Indonesia tidak butuh MA. POLRI, MA dan Kejaksaan sebaiknya digabung sebagai satu institusi. Persekongkolan oknum hakim, penyidik Polri dan jaksa sepertinya sudah begitu PARAH .. !!!!",,
13,UgwNC5_Vy22P5-29O014AaABAg,institusional,"Minion manusia gak ada leher ngomong melulu,,bilang aja gak mau dipenjara 😂😂😂",,
14,UgxsuCptqOrITU1iEPZ4AaABAg,institusional,Ini logika ditaruh dimana? Klo bekerja baik gak mungkin korupsi,,
15,UgwQlNeFfhRnCa7aFRh4AaABAg,tutorial_website,"Mantap, PA. Sampang",,
16,Ugz5834VQeOXZPbNI5h4AaABAg,institusional,Pak polisi tolong Tangkap  si Gofur PH ini. Propokasi,,
17,Ugym_TwQdAkfGfZpURl4AaABAg,institusional,"Gak usah banyak bicara di MA gak bisa bicara , tuli  lebih baik diganti aja masyarakat udah muak pada MA",,
18,UgwvxP3jkqzRr7FwJCF4AaABAg,institusional,Bermanfaat sekali buat mahasiswa hukum Terima kasih pak atas share ilmunya,,
19,UgzWChnfPVRisoxZujl4AaABAg,institusional,Hanya CARA PARA JAHANNAM untuk mengkriminalisasi WARGA yang dianggap BISA MEMBAHAYAKAN SEGALA KEBURUKAN dan PERLAKUAN BATHIL MEREKA!!!,,
20,UgzDJDVHfTjphvI_7VR4AaABAg,institusional,Keren tangannya juga bergoyang ni ketua,,
21,Ugyw92w6ApEbSeZjhwx4AaABAg,institusional,Prabowo semoga cepat sadar seperti rakyat yang sdh mulai sadar dan berjiwa besar untuk mengakui kesalahan memilih jkw di periode 2.,,
22,UgxoPAELLh69en52hjN4AaABAg,institusional,Royyy royy.... hidupmu penuhh kedengkian   dah begitu sok sok ann bawa bawa ayat suciii  ..,,
23,UgyFWB9FRquAr4okSPZ4AaABAg,institusional,"Intinya ada kecurangan besar,yg menang sesungguhnya PRABOWO SANDI,,,",,
24,UgwYKvtokoB_bsltlQR4AaABAg,institusional,"Hakim pun SDH JD dajal,gimana mau di percaya. Berarti moralnya SDH rusak.",,
25,UgzGb2_JwOQUnU2N4MV4AaABAg,institusional,Mantap pak Roky Gerung apa saja pertanyaan habis di lumat oleh ilmunya ...,,
26,Ugxax_sxu1yHELEK4oN4AaABAg,institusional,"Orang2 nya Jokowi mang layak masuk penjara semuanya. Mulai judol, korupsi, penjarahan aset negara, pelanggaran HAM, ijazah palsu, suap hakim jaksa, dan banyak kejahatan lainnya",,
27,UgxSJ26QeboCkwbtySd4AaABAg,institusional,Tp persiden indonesia d anggap rendah oleh persiden luar negeri,,
28,UgwVP64Dp5MFSRIYkDt4AaABAg,institusional,"Yg nanya kayaknya sok suci,kan orang pitik taulah kita...",,
29,UgwcPHNECCVmuf7Pok14AaABAg,tutorial_website,Bagus Cok semoga sukses n terus maju ... Cok emang pinter👍,,
30,UgygItN7FwqQ5MQyCOJ4AaABAg,tutorial_website,Mantap,,
31,UgxT_IKw6CVG27bihx54AaABAg,institusional,Mantap  lebih baik jadi menteri  maling uang rakyat daripada menjadi affiliator 😂😂😂😂😂,,
32,Ugxh4mbLsmWbBXUpbnd4AaABAg,institusional,"Emaang eeenak di tolak kasasinya ,mantap infonya Pak Gofar",,
