no,comment_id,category,text,rater2_label,catatan
1,UgxEJ2UMTMoTf3ixxBl4AaABAg,institusional,"Korupsi dampaknya sangat nyata menyengsarakan rakyat melebihi Covid19,,,, semoga para pejabat diatas lekas sadar bahwa melakukan  korupsi akan mendapatkan balasan yg sangat pedih nanti disana...",netral,
2,Ugwwe-wchyiVaH_rKCB4AaABAg,institusional,"ngeri akh ,ronald tanur ,suapnya sampe 1 Triliunnnnnnnnnn
Aihhhhhh......seberapa dalam kasus ini hingga nerani suap sebanyak itu ,berarti pemain besarnya banyak sekali",bad,
3,UgxI7htLgyE1kcZ3bgR4AaABAg,institusional,Alhamdulillah.mantab sekali bung gafur.sayang bung yg parah di dunia hukum.polisi.kejaksaan.hakim bikin sgt meragukan krn oknum² di institusi ini yg merusak hukum dan keadilan agt terima ksh bung gafur❤,bad,
4,UgwUk8FZbeEYqEDiLPl4AaABAg,institusional,"Keren asli sama hakim dan rasa keadilan nya,, pas gitu porsi2 hukuman nya untuk sambo, putri, kuat dan Ricky rizal.. Tinggal nunggu Eliezer, semoga vonis nya lebih ringan dibawah 5 tahun.. Tidak dapat dipungkiri, kasus ini bisa terang berkat Eliezer",good,
5,Ugyn-v_Nj8v-GVHbmYF4AaABAg,institusional,Mantap hakim nya cpt bersahabat.,good,
6,UgxT-gAOINn7B0sosxt4AaABAg,institusional,Bagaimana nanti kalau mati hakim pembela maling atau koruptor,bad,
7,UgzRG29j5H_y8aToSyh4AaABAg,institusional,"Hanya keadilan dari yang Maha adil lah...
Keadilan yang hakiki, dan mereka semua takkan bisa lolos dari-Nya...",netral,
8,UgwX8SuI0zGOUBwQF7x4AaABAg,institusional,Mantap,good,
9,UgzQVantEHnkgMVcUGZ4AaABAg,institusional,"Carut marut negriku
Korupsi kolusi nepotisme merjalela di semua sektor",bad,
10,UgxJx4n7swg7Hw0LmyJ4AaABAg,institusional,Bnyk dagelan di negri ini..udah ketauan baru diperiksa lagi...,bad,
11,UgyroiPAm5EE3CTRymB4AaABAg,tutorial_website,"Maturnuwun untuk informasi & petunjuknya,,sangat membantu sekali untuk masyarakat yg bingungan seperti saya ini🫡",good,
12,Ugx8YYZXJHgqeRfqdLd4AaABAg,institusional,"Geblek nih MA !!! Beginilah contoh oknum penegak hukum  yang punya otak tapi tidak punya hati nurani !!!
Sepertinya Indonesia tidak butuh MA. POLRI, MA dan Kejaksaan sebaiknya digabung sebagai satu institusi. Persekongkolan oknum hakim, penyidik Polri dan jaksa sepertinya sudah begitu PARAH .. !!!!",bad,
13,UgwNC5_Vy22P5-29O014AaABAg,institusional,"Minion manusia gak ada leher ngomong melulu,,bilang aja gak mau dipenjara 😂😂😂",netral,
14,UgxsuCptqOrITU1iEPZ4AaABAg,institusional,Ini logika ditaruh dimana? Klo bekerja baik gak mungkin korupsi,bad,
15,UgwQlNeFfhRnCa7aFRh4AaABAg,tutorial_website,"Mantap, PA. Sampang",good,
16,Ugz5834VQeOXZPbNI5h4AaABAg,institusional,Pak polisi tolong Tangkap  si Gofur PH ini. Propokasi,bad,
17,Ugym_TwQdAkfGfZpURl4AaABAg,institusional,"Gak usah banyak bicara di MA gak bisa bicara , tuli  lebih baik diganti aja masyarakat udah muak pada MA",bad,
18,UgwvxP3jkqzRr7FwJCF4AaABAg,institusional,Bermanfaat sekali buat mahasiswa hukum Terima kasih pak atas share ilmunya,good,
19,UgzWChnfPVRisoxZujl4AaABAg,institusional,Hanya CARA PARA JAHANNAM untuk mengkriminalisasi WARGA yang dianggap BISA MEMBAHAYAKAN SEGALA KEBURUKAN dan PERLAKUAN BATHIL MEREKA!!!,bad,
20,UgzDJDVHfTjphvI_7VR4AaABAg,institusional,Keren tangannya juga bergoyang ni ketua,good,
