no,comment_id,category,text,rater2_label,catatan
1,Ugx3IKI-kdnbVHh_mbt4AaABAg,institusional,"Kasiaann banget ya para pengacara2 pak Jokowi yg punya integritas tinggi,,
Harus dipertemukan dengan pengacara2 yg ngeyel karena kegoblokan mereka..
Yg merasa aturan hukum itu bisa diubah sesuai dengan keinginan mereka.",negatif,
2,Ugz6tik1gTKlr1B_KHp4AaABAg,institusional,"kalau memang terbukti curang
entah itu presiden udah di Lantik sekalipun harus di lengserkan
hebat bu Rahmawati bergerak di waktu yg tepat ketika ruu hip melanda coba aja sebelum ruu hip melanda pasti bu Rahmawati sudah di tuduh makar 👍👍",negatif,
3,UgyrrcCbBJd2gydD29R4AaABAg,tutorial_website,"Maaf numpang tanya kak, itu pembayarannya VA ya? Tapi kok nomornya tdk ditemukan terus ya",netral,
4,UgxlkqmYlYZMITMcd0N4AaABAg,institusional,PENCURI! PENCURI! Rusak Negeriku!,negatif,
5,UgyQGI2ZvrhVTl9_Uhp4AaABAg,institusional,Bubarkan saja lmkn siapa yg memilih .,negatif,
6,UgyEn1Jp9nLbwKFkNOV4AaABAg,institusional,"KPK berkinerja terburuk sepanjang sejarah. tangkapan kalian cuma ""receh receh"". sekalian aja kalian tangkepin oknum polisi lalulintas yang pungli.
noh lihat kejaksaan agung nangkep koruptor yang rugikan uang negara 78 triliun. kasus korupsi asabri rugikan negara 28 T Juga di selesakian oleh kejaksaan.
tidur aja lah kalian...buang buang uang negara aja.",negatif,
7,Ugy5JVFnN26o6HEWbPx4AaABAg,institusional,0llllllllllllll,netral,
8,Ugzb4lq0kK5WjyQK4PR4AaABAg,institusional,periksa juga para pejabat-pejabat polri. pasti banyak yang korupsi.,negatif,
9,UgzGyi0ih1fZ2gdSiXJ4AaABAg,institusional,"Maaar mar, berasa jaman orba ya gk ada yg bakal ganggu lu,salah lau mar",negatif,
10,UgwI_6yrIXj6H-8vdpZ4AaABAg,institusional,Keren 😂😂😂,positif,
11,UgxoznVzMFHNOcNqhfB4AaABAg,institusional,"Gajih hakim sudah di naik kan oleh Presiden loh?Namun mengapa si hakim masih seenak perutx saja mereka memberikan vonis ringan terhadap tersangka korupsi.yg sudah merugikan negara,sebesar 300T + kerusakan lingkunganx,Wow!😾",negatif,
12,UgwowMD807O-_i5xrFJ4AaABAg,tutorial_website,Kalau BPJS individual gimna ...Bpu,netral,
13,UgyBqs9RJcuOqRsuXsN4AaABAg,institusional,"Pak Mahfud, kasus Km50 apakah mafia hukumnya ""rame"" pak?
Wajar kan pak hari ini masyarakat demo ke istana",negatif,
14,UgwVkjxmJ7sDokiOMBt4AaABAg,institusional,Kardus,netral,
